meeting_id,cluster_id,generated_cluster_label,title,overall_sentiment,sentiment_score,topics
01KQ51DC4345D9DAE005678C,14,feature / roadmap / early access / custom,Aegis / Redwood Clinical - Product Feedback Session,mixed-positive,3.2,hipaa reporting; compliance tooling; feature gaps; product feedback; audit workflow; roadmap
01KQ54917E3931712516916D,16,hipaa / multi framework / multi / framework,Aegis / Nimbus Platform - Comply v2 Preview,very-positive,4.8,compliance reporting; product demo; onboarding; pci dss; multi-framework support; upgrade rollout
01KQ560FF1570C5E7F71D752,11,hybrid / backup / onboarding / recovery,Aegis / Coastal Living Co - Protect Module Expansion,very-positive,4.8,onboarding; backup and recovery; hybrid environment; data protection; compliance; retail seasonality
01KQ56786DD1E8A1BF174FDD,16,hipaa / multi framework / multi / framework,Support Case #1993 - Forge Industries Comply v2 Early Access Question,very-positive,4.8,compliance reporting; product release; multi-framework support; feature request; upgrade migration; hipaa
01KQ56AA6B60801ABC01AB1C,12,overage / charges / overage charges / dispute,Support Case #8179 - Clearwater Medical Overage Charges Dispute,mixed-negative,2.4,billing dispute; overage charges; product migration; outage impact; compliance reporting; alert misconfiguration
01KQ56D878454E5783DC6D94,19,logvault integration / backfill / logvault / data backfill,Support Case #3536 - Stratos Cloud LogVault Integration Timeout,mixed-negative,2.4,technical issue; logvault integration; data backfill; circuit breaker; churn risk; incident follow-up
01KQ5A966832A146DA4B7D41,3,mfa / sso / okta / management,Aegis / Summit Trust - Platform Concerns Discussion,mixed-negative,2.4,mfa enforcement; identity & access management; churn risk; support escalation; outage follow-up; renewal
01KQ5AFAE8264DDC0ED2AE7F,3,mfa / sso / okta / management,Aegis / Crestline Wealth - Identity Module Deployment,very-positive,4.8,identity deployment; privileged access management; mfa migration; compliance audit; entra id integration; compliance reporting
01KQ5BB8521F99E55470206E,7,sprint / sprint planning / planning / planning sprint,Detect Team - Sprint Planning,positive,4.1,sprint planning; bug fix; architecture; ingestion pipeline; alert deduplication; qa
01KQ5D47170D4828E89EDE37,15,outage / communication / incident / incident communication,Support Case #7537 - Forge Industries Detect Recovery Confirmation,mixed-positive,3.4,outage recovery; incident root cause; threat monitoring; data integrity; post-incident report; architectural remediation
01KQ5EC1665DCFD7A6B62A59,13,certificate / bug / response / support response,Support Case #8749 - Coastal Living Co SAML Certificate Rotation Bug,mixed-negative,2.2,saml certificate rotation; product bug; authentication failure; service outage; customer reliability concerns; identity federation
01KQ5F364545B542671FF9CE,18,scim / provisioning / deprovisioning / scim provisioning,Support Case #3546 - Meridian Capital SCIM Provisioning Request,mixed-positive,3.7,scim provisioning; identity management; compliance; okta integration; deprovisioning; feature request
01KQ65D43540846FA994B6C4,14,feature / roadmap / early access / custom,Aegis / Frostbyte AI - Product Feedback,mixed-positive,3.7,role management; feature gap; soc 2 compliance; session timeout policy; product roadmap; identity access management
01KQ68FB3E9E60C4477CDAB4,5,launch / product launch / product launch product / launch product,Comply v2 - GA Deployment Plan,very-positive,4.7,product launch; compliance reporting; infrastructure deployment; qa and testing; observability and alerting; rollback planning
01KQ6A5CEAAFFBE3B0099E75,13,certificate / bug / response / support response,Support Case #6539 - Steelpoint Manufacturing LDAP Sync Failures,mixed-negative,2.4,ldap sync failure; ssl certificate; support response time; active directory; product feedback; churn risk
01KQ6CAA850EAFDC48B52846,10,renewal / pricing / outage / sla,Aegis / Ironworks Corp - Vendor Comparison Discussion,mixed-negative,2.6,outage; compliance reporting; competitive threat; ot security; trust recovery; sla negotiation
01KQ764171AC27A3A94DC695,6,outage / incident / incident response / failure,Detect Reliability - 30-Day Review,mixed-negative,2.8,post-incident review; service outage; compliance risk; customer retention; internal communications; product early access
01KQ773D68723289E4A98889,24,billing / overage / invoice / usage,Support Case #7572 - Brightpath Commerce Invoice Discrepancy,mixed-positive,3.7,billing dispute; invoice overage; data retention; backup policy; account management; usage monitoring
01KQ77F2867FC54E13A8C495,20,alert fatigue / fatigue / siem / siem integration,Aegis / Brightpath Commerce - Detect Module Deployment,mixed-positive,3.9,onboarding; deployment planning; alert fatigue; reliability incident; cloud infrastructure; integrations
01KQ7B802912366FC0A24D4F,0,post mortem / mortem / competitive / post,All Hands - April Update,mixed-positive,3.6,outage post-mortem; product launch; compliance reporting; reliability engineering; roadmap planning; product bug
01KQ7BF0D56037FF89DC89B6,15,outage / communication / incident / incident communication,Support Case #3266 - Trailhead Marketplace Detect Alerts Not Firing,very-negative,1.4,platform outage; detect pipeline failure; pci compliance; churn risk; incident communication; fraud monitoring
01KQ7F58A2E07B857C24624D,20,alert fatigue / fatigue / siem / siem integration,Competitive Landscape Review,mixed-positive,3.4,competitive analysis; product gaps; siem integration; compliance features; pricing pressure; roadmap prioritization
01KQ7FA71CF70FAFEE4B6251,10,renewal / pricing / outage / sla,Aegis / Nova Retail Group - Renewal Discussion,mixed-negative,2.6,renewal; service outage; compliance reporting; churn risk; competitive evaluation; product feedback
01KQ85D10E82A26A8F754FB8,16,hipaa / multi framework / multi / framework,Aegis / Bridgeport Health - Compliance Review,mixed-positive,4.1,hipaa audit prep; multi-framework compliance; evidence management; product roadmap; healthcare; reporting
01KQ88B8EAEAA819C26CCBE7,15,outage / communication / incident / incident communication,ESCALATION: Northstar Pharma - Detect Outage Impact on Compliance,mixed-negative,2.1,platform outage; hipaa compliance; soc 2 audit; churn risk; incident communication failure; infrastructure architecture
01KQ8C5A044F54EE1774D53C,22,false / alert / false positives / positives,Aegis / Helix Data - Post-Incident Review,mixed-negative,2.3,outage post-mortem; churn risk; false positives; pipeline reliability; competitor evaluation; detection tuning
01KQ8D9A06510DD623EFB1A6,20,alert fatigue / fatigue / siem / siem integration,Aegis / Pinnacle Insurance - Detect Roadmap Review,mixed-positive,3.6,feature requests; alert fatigue; incident review; compliance reporting; product roadmap; siem integration
01KQ92EA85FE4C537400227D,14,feature / roadmap / early access / custom,Support Case #8811 - Blackridge Investments Custom Compliance Template,very-positive,4.8,feature request; custom compliance templates; early access program; api integration; workaround; financial services
01KQ94C2B8B9B4668F3D3491,15,outage / communication / incident / incident communication,Support Case #6573 - Ridgeline Logistics Detect Data Gaps,mixed-negative,2.1,platform outage; event ingestion pipeline; ot/scada monitoring; data backfill; sla credits; compliance
01KQ9772B2348F500FB09D1E,3,mfa / sso / okta / management,Support Case #3677 - Coastal Living Co MFA Token Failures,mixed-negative,2.2,mfa failure; totp; okta sso integration; p1 escalation; user lockout; reliability concern
01KQ9A6BE09D73A9BB5798C7,14,feature / roadmap / early access / custom,Support Case #3615 - Nimbus Platform Custom Report Request,mixed-positive,3.5,feature gap; custom reporting; compliance frameworks; product roadmap; audit workflow; early access program
01KQ9BB82FD97C9607D57E90,11,hybrid / backup / onboarding / recovery,Aegis / Coastal Living Co - Onboarding Kickoff,very-positive,4.9,onboarding; backup and recovery; hybrid infrastructure; pci dss compliance; data retention; aws integration
01KQ9BCA1794C9472726FFAD,5,launch / product launch / product launch product / launch product,Comply v2 - Adoption Metrics Review,very-positive,4.7,product launch; compliance reporting; adoption metrics; cross-sell; gdpr roadmap; customer feedback
01KQA0F0BE68E74D66EB4171,0,post mortem / mortem / competitive / post,Competitive Response Strategy,mixed-positive,3.6,competitive positioning; platform reliability; product launch; compliance; sales strategy; incident remediation
01KQA1AFDC1306A000B0C7D9,11,hybrid / backup / onboarding / recovery,Aegis / Vanta Health Systems - Backup Strategy Workshop,very-positive,4.7,hybrid backup strategy; hipaa compliance; disaster recovery testing; data retention policies; onboarding; healthcare data management
01KQA502E222E2A60330237B,4,renewal / expansion / identity / product update,Aegis / Pineridge Systems - Q1 Business Review,very-positive,4.7,quarterly business review; renewal; compliance; disaster recovery; product update; pricing
01KQA7DFCE1285F52192B34B,9,backup / performance / agent / degradation,Support Case #9856 - Silverline Brands Backup Window Exceeded,mixed-negative,2.4,backup performance; throughput degradation; platform incident; sql server; agent update; support response time
01KQAC572C34475A8791F2C3,17,restore / file / backup / multi region,Protect Team - Quarterly Planning,positive,4.4,quarterly planning; incremental backup performance; restore ux improvement; multi-region replication; canary deployment; tech debt
01KQADC32D89E2B76B698E84,1,backup / connector / communication / backup failure,Support Case #6635 - Nova Retail Group SSO Login Failures,mixed-negative,2.3,sso outage; identity module regression; saml configuration; incident communication; workaround; patch deployment
01KQADF3D76E82BF8BA19AF2,5,launch / product launch / product launch product / launch product,All Hands - February Wrap,mixed-positive,3.5,product launch; qa coverage; customer churn; upsell opportunity; technical issue; roadmap planning
01KQAEA50436D047BC39CFC7,10,renewal / pricing / outage / sla,Aegis / Crestline Wealth - Account Review,mixed-positive,3.8,renewal; pricing; compliance roadmap; data backup; threat detection; support issue
01KQAFB8DBF6E1E2FDEF0B75,2,preparation / audit preparation / demo / audit,Aegis / Maplewood Goods - SOC 2 Prep Review,very-positive,4.8,soc 2 compliance; audit preparation; evidence collection; multi-framework compliance; onboarding; pci dss
01KQB3B16F255B65F39597D0,8,pdf / export / rendering / pdf export,Comply v2 - Design Review,positive,4.4,design review; compliance reporting; multi-framework support; pdf export; performance testing; roadmap planning
01KQB632F1ADC378C42F2C03,24,billing / overage / invoice / usage,Support Case #7570 - Silverline Brands Comply v2 License Upgrade,mixed-positive,3.9,billing discrepancy; proration error; license upgrade; compliance reporting; credit request; product features
01KQB95605C6F873C6036285,2,preparation / audit preparation / demo / audit,Aegis / Forge Industries - PCI DSS Compliance Review,mixed-positive,4.1,pci dss compliance; audit preparation; multi-framework reporting; product demo; detect outage follow-up; soc 2
01KQBB7C4D4789DB2F3DA9C2,13,certificate / bug / response / support response,Support Case #1750 - Vanta Health Systems SIEM Connector Issue,mixed-negative,2.4,siem integration; technical issue; compliance; support response time; product bug; documentation gap
01KQBBF753B44DE677670E6D,15,outage / communication / incident / incident communication,Support Case #6147 - Summit Trust Detect Alert Delays,mixed-negative,2.4,alert latency; incident communication failure; platform outage; regulatory compliance; infrastructure rebalancing; product gap
01KQC1267BEB344076DD7656,0,post mortem / mortem / competitive / post,Aegis / Ironclad Financial - Account Recovery Check-in,mixed-negative,2.8,outage post-mortem; renewal; platform reliability; compliance; competitive evaluation; configuration review
01KQC166F678CBA584AAFF8B,9,backup / performance / agent / degradation,Support Case #7615 - Crestline Wealth Group Policy Sync Delay,mixed-negative,2.4,provisioning sync delay; identity policy propagation; shared cluster performance; support response time; renewal risk; compliance requirements
01KQC3A2EBC501837E973B16,3,mfa / sso / okta / management,Aegis / Frostbyte AI - Identity Module Setup,very-positive,4.8,onboarding; sso configuration; mfa policy; identity access management; contractor access controls; okta migration
01KQCA6EA8B603EBB6C9FE34,3,mfa / sso / okta / management,Aegis / Ridgeline Logistics - Identity Roadmap Discussion,mixed-positive,3.4,shared workstation session management; mfa policy exceptions; sso integration; rbac enhancements; renewal; feature request
01KQCF9872BF130D33B1B5EC,25,api / rate / api rate / launch,Comply v2 - Launch Day Checklist,very-positive,4.8,launch readiness; qa sign-off; compliance reporting; safari bug; hipaa validation; incident communications
01KQD1270E98A7DFC55ADCF8,9,backup / performance / agent / degradation,Protect Performance - Scalability Concerns,mixed-negative,2.2,performance degradation; architecture scalability; technical debt; incident risk; sales alignment; backup infrastructure
01KQD199788883B6F18C81E8,4,renewal / expansion / identity / product update,Aegis / Atlas Precision - Annual Review & Renewal,positive,4.3,renewal; compliance; incident review; product roadmap; identity management; ot security
01KQD4D9DEBA2D55AC2AA9F5,5,launch / product launch / product launch product / launch product,Aegis / Keystone Health - Renewal Planning,positive,4.4,renewal; compliance; product launch; upsell; technical incident; healthcare
01KQDD5172176D02DB51360A,1,backup / connector / communication / backup failure,Support Case #3286 - Vanta Health Systems API Integration Error,mixed-negative,2.4,api outage; backup failure; hipaa compliance; healthcare data; incident communication; escalation
01KQE110900B8A65D80AE694,0,post mortem / mortem / competitive / post,Detect Outage - Root Cause Analysis,mixed-negative,2.4,incident review; pipeline failure; infrastructure reliability; health checks; chaos engineering; post-mortem
01KQEDB92E33CF9945A7F71B,6,outage / incident / incident response / failure,URGENT: Cobalt Software - Aegis Detect Dashboard Down,negative,1.8,outage; platform reliability; threat monitoring; churn risk; incident response; service credit
01KQEDE682B4A8D67C657CF1,22,false / alert / false positives / positives,Support Case #3103 - Silverline Brands Detect False Positives After Patch,mixed-negative,2.4,false positives; patch management; behavioral detection; customer retention risk; incident communication; baseline configuration
01KQF9600A904ADE8605B3F0,23,breaker / circuit / circuit breaker / breaker implementation,Detect Team - Reliability Sprint Retro,very-positive,4.8,sprint retrospective; reliability engineering; circuit breaker implementation; monitoring gaps; incident response; knowledge sharing
01KQFEEFFF8E80B0DFD10880,21,ii / type ii / management / audit,SOC 2 Type II - Final Review,very-positive,4.7,soc 2 type ii audit; compliance; incident response; audit evidence packaging; product dogfooding; customer renewals
01KQFFC0F889AE8CFEE7A00D,4,renewal / expansion / identity / product update,Aegis / Blackridge Investments - Renewal Discussion,very-positive,4.7,renewal; compliance reporting; incident post-mortem; product expansion; identity management; early access
