meeting_id,topic,normalized_topic
01KQ4EE836687F95080D92AB,sprint retrospective,sprint retrospective
01KQ51DC4345D9DAE005678C,hipaa reporting,hipaa reporting
01KQ51DC4345D9DAE005678C,compliance tooling,compliance tooling
01KQ51DC4345D9DAE005678C,feature gaps,feature gaps
01KQ51DC4345D9DAE005678C,product feedback,product feedback
01KQ51DC4345D9DAE005678C,audit workflow,audit workflow
01KQ51DC4345D9DAE005678C,roadmap,roadmap
01KQ54917E3931712516916D,compliance reporting,compliance reporting
01KQ54917E3931712516916D,product demo,product demo
01KQ54917E3931712516916D,onboarding,onboarding
01KQ54917E3931712516916D,pci dss,pci dss
01KQ54917E3931712516916D,multi-framework support,multi-framework support
01KQ54917E3931712516916D,upgrade rollout,upgrade rollout
01KQ560FF1570C5E7F71D752,onboarding,onboarding
01KQ560FF1570C5E7F71D752,backup and recovery,backup and recovery
01KQ560FF1570C5E7F71D752,hybrid environment,hybrid environment
01KQ560FF1570C5E7F71D752,data protection,data protection
01KQ560FF1570C5E7F71D752,compliance,compliance
01KQ560FF1570C5E7F71D752,retail seasonality,retail seasonality
01KQ56786DD1E8A1BF174FDD,compliance reporting,compliance reporting
01KQ56786DD1E8A1BF174FDD,product release,product release
01KQ56786DD1E8A1BF174FDD,multi-framework support,multi-framework support
01KQ56786DD1E8A1BF174FDD,feature request,feature request
01KQ56786DD1E8A1BF174FDD,upgrade migration,upgrade migration
01KQ56786DD1E8A1BF174FDD,hipaa,hipaa
01KQ56AA6B60801ABC01AB1C,billing dispute,billing dispute
01KQ56AA6B60801ABC01AB1C,overage charges,overage charges
01KQ56AA6B60801ABC01AB1C,product migration,product migration
01KQ56AA6B60801ABC01AB1C,outage impact,outage impact
01KQ56AA6B60801ABC01AB1C,compliance reporting,compliance reporting
01KQ56AA6B60801ABC01AB1C,alert misconfiguration,alert misconfiguration
01KQ56D878454E5783DC6D94,technical issue,technical issue
01KQ56D878454E5783DC6D94,logvault integration,logvault integration
01KQ56D878454E5783DC6D94,data backfill,data backfill
01KQ56D878454E5783DC6D94,circuit breaker,circuit breaker
01KQ56D878454E5783DC6D94,churn risk,churn risk
01KQ56D878454E5783DC6D94,incident follow-up,incident follow-up
01KQ5A966832A146DA4B7D41,mfa enforcement,mfa enforcement
01KQ5A966832A146DA4B7D41,identity & access management,identity & access management
01KQ5A966832A146DA4B7D41,churn risk,churn risk
01KQ5A966832A146DA4B7D41,support escalation,support escalation
01KQ5A966832A146DA4B7D41,outage follow-up,outage follow-up
01KQ5A966832A146DA4B7D41,renewal,renewal
01KQ5AFAE8264DDC0ED2AE7F,identity deployment,identity deployment
01KQ5AFAE8264DDC0ED2AE7F,privileged access management,privileged access management
01KQ5AFAE8264DDC0ED2AE7F,mfa migration,mfa migration
01KQ5AFAE8264DDC0ED2AE7F,compliance audit,compliance audit
01KQ5AFAE8264DDC0ED2AE7F,entra id integration,entra id integration
01KQ5AFAE8264DDC0ED2AE7F,compliance reporting,compliance reporting
01KQ5BB8521F99E55470206E,sprint planning,sprint planning
01KQ5BB8521F99E55470206E,bug fix,bug fix
01KQ5BB8521F99E55470206E,architecture,architecture
01KQ5BB8521F99E55470206E,ingestion pipeline,ingestion pipeline
01KQ5BB8521F99E55470206E,alert deduplication,alert deduplication
01KQ5BB8521F99E55470206E,qa,qa
01KQ5D47170D4828E89EDE37,outage recovery,outage recovery
01KQ5D47170D4828E89EDE37,incident root cause,incident root cause
01KQ5D47170D4828E89EDE37,threat monitoring,threat monitoring
01KQ5D47170D4828E89EDE37,data integrity,data integrity
01KQ5D47170D4828E89EDE37,post-incident report,post-incident report
01KQ5D47170D4828E89EDE37,architectural remediation,architectural remediation
01KQ5EC1665DCFD7A6B62A59,saml certificate rotation,saml certificate rotation
01KQ5EC1665DCFD7A6B62A59,product bug,product bug
01KQ5EC1665DCFD7A6B62A59,authentication failure,authentication failure
01KQ5EC1665DCFD7A6B62A59,service outage,service outage
01KQ5EC1665DCFD7A6B62A59,customer reliability concerns,customer reliability concerns
01KQ5EC1665DCFD7A6B62A59,identity federation,identity federation
01KQ5F364545B542671FF9CE,scim provisioning,scim provisioning
01KQ5F364545B542671FF9CE,identity management,identity management
01KQ5F364545B542671FF9CE,compliance,compliance
01KQ5F364545B542671FF9CE,okta integration,okta integration
01KQ5F364545B542671FF9CE,deprovisioning,deprovisioning
01KQ5F364545B542671FF9CE,feature request,feature request
01KQ65D43540846FA994B6C4,role management,role management
01KQ65D43540846FA994B6C4,feature gap,feature gap
01KQ65D43540846FA994B6C4,soc 2 compliance,soc 2 compliance
01KQ65D43540846FA994B6C4,session timeout policy,session timeout policy
01KQ65D43540846FA994B6C4,product roadmap,product roadmap
01KQ65D43540846FA994B6C4,identity access management,identity access management
01KQ68FB3E9E60C4477CDAB4,product launch,product launch
01KQ68FB3E9E60C4477CDAB4,compliance reporting,compliance reporting
01KQ68FB3E9E60C4477CDAB4,infrastructure deployment,infrastructure deployment
01KQ68FB3E9E60C4477CDAB4,qa and testing,qa and testing
01KQ68FB3E9E60C4477CDAB4,observability and alerting,observability and alerting
01KQ68FB3E9E60C4477CDAB4,rollback planning,rollback planning
01KQ6A5CEAAFFBE3B0099E75,ldap sync failure,ldap sync failure
01KQ6A5CEAAFFBE3B0099E75,ssl certificate,ssl certificate
01KQ6A5CEAAFFBE3B0099E75,support response time,support response time
01KQ6A5CEAAFFBE3B0099E75,active directory,active directory
01KQ6A5CEAAFFBE3B0099E75,product feedback,product feedback
01KQ6A5CEAAFFBE3B0099E75,churn risk,churn risk
01KQ6CAA850EAFDC48B52846,outage,outage
01KQ6CAA850EAFDC48B52846,compliance reporting,compliance reporting
01KQ6CAA850EAFDC48B52846,competitive threat,competitive threat
01KQ6CAA850EAFDC48B52846,ot security,ot security
01KQ6CAA850EAFDC48B52846,trust recovery,trust recovery
01KQ6CAA850EAFDC48B52846,sla negotiation,sla negotiation
01KQ764171AC27A3A94DC695,post-incident review,post-incident review
01KQ764171AC27A3A94DC695,service outage,service outage
01KQ764171AC27A3A94DC695,compliance risk,compliance risk
01KQ764171AC27A3A94DC695,customer retention,customer retention
01KQ764171AC27A3A94DC695,internal communications,internal communications
01KQ764171AC27A3A94DC695,product early access,product early access
01KQ773D68723289E4A98889,billing dispute,billing dispute
01KQ773D68723289E4A98889,invoice overage,invoice overage
01KQ773D68723289E4A98889,data retention,data retention
01KQ773D68723289E4A98889,backup policy,backup policy
01KQ773D68723289E4A98889,account management,account management
01KQ773D68723289E4A98889,usage monitoring,usage monitoring
01KQ77F2867FC54E13A8C495,onboarding,onboarding
01KQ77F2867FC54E13A8C495,deployment planning,deployment planning
01KQ77F2867FC54E13A8C495,alert fatigue,alert fatigue
01KQ77F2867FC54E13A8C495,reliability incident,reliability incident
01KQ77F2867FC54E13A8C495,cloud infrastructure,cloud infrastructure
01KQ77F2867FC54E13A8C495,integrations,integrations
01KQ7B802912366FC0A24D4F,outage post-mortem,outage post-mortem
01KQ7B802912366FC0A24D4F,product launch,product launch
01KQ7B802912366FC0A24D4F,compliance reporting,compliance reporting
01KQ7B802912366FC0A24D4F,reliability engineering,reliability engineering
01KQ7B802912366FC0A24D4F,roadmap planning,roadmap planning
01KQ7B802912366FC0A24D4F,product bug,product bug
01KQ7BF0D56037FF89DC89B6,platform outage,platform outage
01KQ7BF0D56037FF89DC89B6,detect pipeline failure,detect pipeline failure
01KQ7BF0D56037FF89DC89B6,pci compliance,pci compliance
01KQ7BF0D56037FF89DC89B6,churn risk,churn risk
01KQ7BF0D56037FF89DC89B6,incident communication,incident communication
01KQ7BF0D56037FF89DC89B6,fraud monitoring,fraud monitoring
01KQ7F58A2E07B857C24624D,competitive analysis,competitive analysis
01KQ7F58A2E07B857C24624D,product gaps,product gaps
01KQ7F58A2E07B857C24624D,siem integration,siem integration
01KQ7F58A2E07B857C24624D,compliance features,compliance features
01KQ7F58A2E07B857C24624D,pricing pressure,pricing pressure
01KQ7F58A2E07B857C24624D,roadmap prioritization,roadmap prioritization
01KQ7FA71CF70FAFEE4B6251,renewal,renewal
01KQ7FA71CF70FAFEE4B6251,service outage,service outage
01KQ7FA71CF70FAFEE4B6251,compliance reporting,compliance reporting
01KQ7FA71CF70FAFEE4B6251,churn risk,churn risk
01KQ7FA71CF70FAFEE4B6251,competitive evaluation,competitive evaluation
01KQ7FA71CF70FAFEE4B6251,product feedback,product feedback
01KQ85D10E82A26A8F754FB8,hipaa audit prep,hipaa audit prep
01KQ85D10E82A26A8F754FB8,multi-framework compliance,multi-framework compliance
01KQ85D10E82A26A8F754FB8,evidence management,evidence management
01KQ85D10E82A26A8F754FB8,product roadmap,product roadmap
01KQ85D10E82A26A8F754FB8,healthcare,healthcare
01KQ85D10E82A26A8F754FB8,reporting,reporting
01KQ88B8EAEAA819C26CCBE7,platform outage,platform outage
01KQ88B8EAEAA819C26CCBE7,hipaa compliance,hipaa compliance
01KQ88B8EAEAA819C26CCBE7,soc 2 audit,soc 2 audit
01KQ88B8EAEAA819C26CCBE7,churn risk,churn risk
01KQ88B8EAEAA819C26CCBE7,incident communication failure,incident communication failure
01KQ88B8EAEAA819C26CCBE7,infrastructure architecture,infrastructure architecture
01KQ8C5A044F54EE1774D53C,outage post-mortem,outage post-mortem
01KQ8C5A044F54EE1774D53C,churn risk,churn risk
01KQ8C5A044F54EE1774D53C,false positives,false positives
01KQ8C5A044F54EE1774D53C,pipeline reliability,pipeline reliability
01KQ8C5A044F54EE1774D53C,competitor evaluation,competitor evaluation
01KQ8C5A044F54EE1774D53C,detection tuning,detection tuning
01KQ8D9A06510DD623EFB1A6,feature requests,feature requests
01KQ8D9A06510DD623EFB1A6,alert fatigue,alert fatigue
01KQ8D9A06510DD623EFB1A6,incident review,incident review
01KQ8D9A06510DD623EFB1A6,compliance reporting,compliance reporting
01KQ8D9A06510DD623EFB1A6,product roadmap,product roadmap
01KQ8D9A06510DD623EFB1A6,siem integration,siem integration
01KQ92EA85FE4C537400227D,feature request,feature request
01KQ92EA85FE4C537400227D,custom compliance templates,custom compliance templates
01KQ92EA85FE4C537400227D,early access program,early access program
01KQ92EA85FE4C537400227D,api integration,api integration
01KQ92EA85FE4C537400227D,workaround,workaround
01KQ92EA85FE4C537400227D,financial services,financial services
01KQ94C2B8B9B4668F3D3491,platform outage,platform outage
01KQ94C2B8B9B4668F3D3491,event ingestion pipeline,event ingestion pipeline
01KQ94C2B8B9B4668F3D3491,ot/scada monitoring,ot/scada monitoring
01KQ94C2B8B9B4668F3D3491,data backfill,data backfill
01KQ94C2B8B9B4668F3D3491,sla credits,sla credits
01KQ94C2B8B9B4668F3D3491,compliance,compliance
01KQ9772B2348F500FB09D1E,mfa failure,mfa failure
01KQ9772B2348F500FB09D1E,totp,totp
01KQ9772B2348F500FB09D1E,okta sso integration,okta sso integration
01KQ9772B2348F500FB09D1E,p1 escalation,p1 escalation
01KQ9772B2348F500FB09D1E,user lockout,user lockout
01KQ9772B2348F500FB09D1E,reliability concern,reliability concern
01KQ9A6BE09D73A9BB5798C7,feature gap,feature gap
01KQ9A6BE09D73A9BB5798C7,custom reporting,custom reporting
01KQ9A6BE09D73A9BB5798C7,compliance frameworks,compliance frameworks
01KQ9A6BE09D73A9BB5798C7,product roadmap,product roadmap
01KQ9A6BE09D73A9BB5798C7,audit workflow,audit workflow
01KQ9A6BE09D73A9BB5798C7,early access program,early access program
01KQ9BB82FD97C9607D57E90,onboarding,onboarding
01KQ9BB82FD97C9607D57E90,backup and recovery,backup and recovery
01KQ9BB82FD97C9607D57E90,hybrid infrastructure,hybrid infrastructure
01KQ9BB82FD97C9607D57E90,pci dss compliance,pci dss compliance
01KQ9BB82FD97C9607D57E90,data retention,data retention
01KQ9BB82FD97C9607D57E90,aws integration,aws integration
01KQ9BCA1794C9472726FFAD,product launch,product launch
01KQ9BCA1794C9472726FFAD,compliance reporting,compliance reporting
01KQ9BCA1794C9472726FFAD,adoption metrics,adoption metrics
01KQ9BCA1794C9472726FFAD,cross-sell,cross-sell
01KQ9BCA1794C9472726FFAD,gdpr roadmap,gdpr roadmap
01KQ9BCA1794C9472726FFAD,customer feedback,customer feedback
01KQA0F0BE68E74D66EB4171,competitive positioning,competitive positioning
01KQA0F0BE68E74D66EB4171,platform reliability,platform reliability
01KQA0F0BE68E74D66EB4171,product launch,product launch
01KQA0F0BE68E74D66EB4171,compliance,compliance
01KQA0F0BE68E74D66EB4171,sales strategy,sales strategy
01KQA0F0BE68E74D66EB4171,incident remediation,incident remediation
01KQA1AFDC1306A000B0C7D9,hybrid backup strategy,hybrid backup strategy
01KQA1AFDC1306A000B0C7D9,hipaa compliance,hipaa compliance
01KQA1AFDC1306A000B0C7D9,disaster recovery testing,disaster recovery testing
01KQA1AFDC1306A000B0C7D9,data retention policies,data retention policies
01KQA1AFDC1306A000B0C7D9,onboarding,onboarding
01KQA1AFDC1306A000B0C7D9,healthcare data management,healthcare data management
01KQA502E222E2A60330237B,quarterly business review,quarterly business review
01KQA502E222E2A60330237B,renewal,renewal
01KQA502E222E2A60330237B,compliance,compliance
01KQA502E222E2A60330237B,disaster recovery,disaster recovery
01KQA502E222E2A60330237B,product update,product update
01KQA502E222E2A60330237B,pricing,pricing
01KQA7DFCE1285F52192B34B,backup performance,backup performance
01KQA7DFCE1285F52192B34B,throughput degradation,throughput degradation
01KQA7DFCE1285F52192B34B,platform incident,platform incident
01KQA7DFCE1285F52192B34B,sql server,sql server
01KQA7DFCE1285F52192B34B,agent update,agent update
01KQA7DFCE1285F52192B34B,support response time,support response time
01KQAC572C34475A8791F2C3,quarterly planning,quarterly planning
01KQAC572C34475A8791F2C3,incremental backup performance,incremental backup performance
01KQAC572C34475A8791F2C3,restore ux improvement,restore ux improvement
01KQAC572C34475A8791F2C3,multi-region replication,multi-region replication
01KQAC572C34475A8791F2C3,canary deployment,canary deployment
01KQAC572C34475A8791F2C3,tech debt,tech debt
01KQADC32D89E2B76B698E84,sso outage,sso outage
01KQADC32D89E2B76B698E84,identity module regression,identity module regression
01KQADC32D89E2B76B698E84,saml configuration,saml configuration
01KQADC32D89E2B76B698E84,incident communication,incident communication
01KQADC32D89E2B76B698E84,workaround,workaround
