cluster_id,theme_title,canonical,aliases
8,Incident Response and Review,incident root cause,
8,Incident Response and Review,incident tracking,
8,Incident Response and Review,outage post-mortem,
8,Incident Response and Review,platform incident,
8,Incident Response and Review,post-incident report,
8,Incident Response and Review,post-incident review,
8,Incident Response and Review,post-mortem,
8,Incident Response and Review,post-mortem follow-up,
8,Incident Response and Review,postmortem planning,
8,Incident Response and Review,technical incident,
9,Outage Prevention and Recovery,api outage,
9,Outage Prevention and Recovery,circuit breaker,
9,Outage Prevention and Recovery,circuit breaker implementation,
9,Outage Prevention and Recovery,detect outage follow-up,
9,Outage Prevention and Recovery,outage,
9,Outage Prevention and Recovery,outage follow-up,
9,Outage Prevention and Recovery,outage impact,
9,Outage Prevention and Recovery,outage recovery,
9,Outage Prevention and Recovery,outage remediation,
9,Outage Prevention and Recovery,platform outage,
9,Outage Prevention and Recovery,product outage,
9,Outage Prevention and Recovery,reliability / outage impact,
9,Outage Prevention and Recovery,service outage,
10,HIPAA Compliance and Reporting,custom reporting,
10,HIPAA Compliance and Reporting,hipaa,
10,HIPAA Compliance and Reporting,hipaa audit prep,
10,HIPAA Compliance and Reporting,hipaa compliance,
10,HIPAA Compliance and Reporting,hipaa reporting,
10,HIPAA Compliance and Reporting,hipaa validation,
10,HIPAA Compliance and Reporting,reporting,
11,Compliance and Governance,compliance,
11,Compliance and Governance,compliance audit,
11,Compliance and Governance,compliance automation,
11,Compliance and Governance,compliance bug,
11,Compliance and Governance,compliance features,
11,Compliance and Governance,compliance frameworks,
11,Compliance and Governance,compliance integration,
11,Compliance and Governance,compliance reporting,
11,Compliance and Governance,compliance requirements,
11,Compliance and Governance,compliance risk,
11,Compliance and Governance,compliance tooling,
11,Compliance and Governance,comply integration,
11,Compliance and Governance,comply v2 launch,
11,Compliance and Governance,custom compliance templates,
11,Compliance and Governance,multi-framework compliance,
11,Compliance and Governance,multi-framework coverage,
11,Compliance and Governance,multi-framework reporting,
11,Compliance and Governance,multi-framework support,
11,Compliance and Governance,pci compliance,
11,Compliance and Governance,pci dss,
11,Compliance and Governance,pci dss compliance,
11,Compliance and Governance,regulatory compliance,
11,Compliance and Governance,rto compliance,
11,Compliance and Governance,soc 2 compliance,
12,Audit Compliance Readiness,audit automation,
12,Audit Compliance Readiness,audit deadline,
12,Audit Compliance Readiness,audit evidence packaging,
12,Audit Compliance Readiness,audit preparation,
12,Audit Compliance Readiness,audit readiness,
12,Audit Compliance Readiness,audit workflow,
12,Audit Compliance Readiness,soc 2,
12,Audit Compliance Readiness,soc 2 audit,
12,Audit Compliance Readiness,soc 2 type ii audit,
13,Billing and Pricing Issues,api rate limiting,
13,Billing and Pricing Issues,api rate limits,
13,Billing and Pricing Issues,billing adjustment,
13,Billing and Pricing Issues,billing discrepancy,
13,Billing and Pricing Issues,billing dispute,
13,Billing and Pricing Issues,contract negotiation,
13,Billing and Pricing Issues,invoice overage,
13,Billing and Pricing Issues,overage charges,
13,Billing and Pricing Issues,pricing,
13,Billing and Pricing Issues,pricing pressure,
13,Billing and Pricing Issues,seat overage,
14,Data Protection and Recovery,backup and recovery,
14,Data Protection and Recovery,backup failure,
14,Data Protection and Recovery,backup infrastructure,
14,Data Protection and Recovery,backup performance,
14,Data Protection and Recovery,backup policy,
14,Data Protection and Recovery,data backfill,
14,Data Protection and Recovery,data backup,
14,Data Protection and Recovery,data integrity,
14,Data Protection and Recovery,data loss,
14,Data Protection and Recovery,data protection,
14,Data Protection and Recovery,data retention,
14,Data Protection and Recovery,data retention policies,
14,Data Protection and Recovery,disaster recovery,
14,Data Protection and Recovery,disaster recovery testing,
14,Data Protection and Recovery,granular restore,
14,Data Protection and Recovery,hybrid backup strategy,
14,Data Protection and Recovery,incremental backup performance,
14,Data Protection and Recovery,load testing,
14,Data Protection and Recovery,performance degradation,
14,Data Protection and Recovery,performance testing,
14,Data Protection and Recovery,shared cluster performance,
14,Data Protection and Recovery,throughput degradation,
14,Data Protection and Recovery,trust recovery,
15,Identity and Access Governance,access control,
15,Identity and Access Governance,account management,
15,Identity and Access Governance,active directory,
15,Identity and Access Governance,change management,
15,Identity and Access Governance,contractor access controls,
15,Identity and Access Governance,documentation,
15,Identity and Access Governance,evidence collection,
15,Identity and Access Governance,evidence management,
15,Identity and Access Governance,iam permissions,
15,Identity and Access Governance,identity & access management,identity access management
15,Identity and Access Governance,identity deployment,
15,Identity and Access Governance,identity federation,
15,Identity and Access Governance,identity management,
15,Identity and Access Governance,identity module regression,
15,Identity and Access Governance,identity policy propagation,
15,Identity and Access Governance,iso 27001,
15,Identity and Access Governance,patch management,
15,Identity and Access Governance,privileged access management,
15,Identity and Access Governance,role management,
15,Identity and Access Governance,service control policies,
15,Identity and Access Governance,session timeout policy,
15,Identity and Access Governance,shared workstation session management,
15,Identity and Access Governance,user lockout,
15,Identity and Access Governance,vendor management,
16,Roadmap Planning and Compliance,compliance roadmap,
16,Roadmap Planning and Compliance,gdpr roadmap,
16,Roadmap Planning and Compliance,identity roadmap,
16,Roadmap Planning and Compliance,product roadmap,
16,Roadmap Planning and Compliance,roadmap,
16,Roadmap Planning and Compliance,roadmap planning,
16,Roadmap Planning and Compliance,roadmap prioritization,
17,Upselling and Cross-Selling Strategy,cross-sell,
17,Upselling and Cross-Selling Strategy,product upsell,
17,Upselling and Cross-Selling Strategy,retail seasonality,
17,Upselling and Cross-Selling Strategy,sales alignment,
17,Upselling and Cross-Selling Strategy,sales process,
17,Upselling and Cross-Selling Strategy,sales strategy,
17,Upselling and Cross-Selling Strategy,upsell,
17,Upselling and Cross-Selling Strategy,upsell opportunity,
18,Product and Service Expansion,agent update,
18,Product and Service Expansion,agent version update,
18,Product and Service Expansion,bug fix,
18,Product and Service Expansion,ci/cd improvement,
18,Product and Service Expansion,cloud expansion,
18,Product and Service Expansion,early access,
18,Product and Service Expansion,early access program,
18,Product and Service Expansion,expansion,
18,Product and Service Expansion,feature request,feature requests
18,Product and Service Expansion,launch readiness,
18,Product and Service Expansion,license upgrade,
18,Product and Service Expansion,migration cleanup,
18,Product and Service Expansion,multi-region replication,
18,Product and Service Expansion,new release issue,
18,Product and Service Expansion,okta migration,
18,Product and Service Expansion,pdf export,
18,Product and Service Expansion,pdf rendering,
18,Product and Service Expansion,product add-on,
18,Product and Service Expansion,product bug,
18,Product and Service Expansion,product demo,
18,Product and Service Expansion,product dogfooding,
18,Product and Service Expansion,product early access,
18,Product and Service Expansion,product expansion,
18,Product and Service Expansion,product features,
18,Product and Service Expansion,product feedback,
18,Product and Service Expansion,product launch,
18,Product and Service Expansion,product migration,
18,Product and Service Expansion,product release,
18,Product and Service Expansion,product update,
18,Product and Service Expansion,product visibility,
18,Product and Service Expansion,proof of concept,
18,Product and Service Expansion,rbac enhancements,
18,Product and Service Expansion,restore ux improvement,
18,Product and Service Expansion,safari bug,
18,Product and Service Expansion,upgrade migration,
18,Product and Service Expansion,upgrade rollout,
18,Product and Service Expansion,workaround,
19,Security and Alerting,adoption metrics,
19,Security and Alerting,alert deduplication,
19,Security and Alerting,alert fatigue,
19,Security and Alerting,alert latency,
19,Security and Alerting,alert misconfiguration,
19,Security and Alerting,alert routing,
19,Security and Alerting,alert tuning,
19,Security and Alerting,behavioral detection,
19,Security and Alerting,detection tuning,
19,Security and Alerting,estimation,
19,Security and Alerting,fraud monitoring,
19,Security and Alerting,observability and alerting,
19,Security and Alerting,ot security,
19,Security and Alerting,ot/scada monitoring,
19,Security and Alerting,security monitoring,
19,Security and Alerting,security training,
19,Security and Alerting,threat detection,
19,Security and Alerting,threat monitoring,
19,Security and Alerting,usage monitoring,
20,Customer Onboarding and Support,credit request,
20,Customer Onboarding and Support,financial services,
20,Customer Onboarding and Support,knowledge sharing,
20,Customer Onboarding and Support,onboarding,
20,Customer Onboarding and Support,provisioning,deprovisioning
20,Customer Onboarding and Support,service credits,service credit
20,Customer Onboarding and Support,sql server,
20,Customer Onboarding and Support,totp,
21,IT Operations and Deployment,canary deployment,
21,IT Operations and Deployment,capacity planning,
21,IT Operations and Deployment,cmmc,
21,IT Operations and Deployment,deployment,
21,IT Operations and Deployment,deployment planning,
21,IT Operations and Deployment,infrastructure deployment,
21,IT Operations and Deployment,patch deployment,
21,IT Operations and Deployment,quarterly planning,
21,IT Operations and Deployment,resource allocation,
21,IT Operations and Deployment,rollback planning,
21,IT Operations and Deployment,runbook,
21,IT Operations and Deployment,scim / provisioning,scim provisioning
21,IT Operations and Deployment,sprint planning,
21,IT Operations and Deployment,sprint retrospective,
22,Product Maturity Gaps,collateral gaps,
22,Product Maturity Gaps,documentation gap,
22,Product Maturity Gaps,feature gaps,feature gap
22,Product Maturity Gaps,monitoring gaps,
22,Product Maturity Gaps,notification gap,
22,Product Maturity Gaps,product gaps,product gap
23,Infrastructure Architecture Challenges,architectural remediation,
23,Infrastructure Architecture Challenges,architecture,
23,Infrastructure Architecture Challenges,architecture gap,
23,Infrastructure Architecture Challenges,architecture scalability,
23,Infrastructure Architecture Challenges,cloud infrastructure,
23,Infrastructure Architecture Challenges,hybrid environment,
23,Infrastructure Architecture Challenges,hybrid infrastructure,
23,Infrastructure Architecture Challenges,infrastructure architecture,
23,Infrastructure Architecture Challenges,infrastructure bottleneck,
23,Infrastructure Architecture Challenges,infrastructure rebalancing,
23,Infrastructure Architecture Challenges,pipeline architecture,
24,System Reliability and Support,403 error,
24,System Reliability and Support,authentication failure,
24,System Reliability and Support,incident communication failure,
24,System Reliability and Support,internal communications,
24,System Reliability and Support,internal monitoring failure,
24,System Reliability and Support,ldap sync failure,
24,System Reliability and Support,proactive communication failure,
24,System Reliability and Support,proration error,
24,System Reliability and Support,provisioning sync delay,
24,System Reliability and Support,single point of failure,
24,System Reliability and Support,support issue,
24,System Reliability and Support,support response time,
24,System Reliability and Support,tech debt,
24,System Reliability and Support,technical debt,
24,System Reliability and Support,technical issue,
24,System Reliability and Support,threat monitoring failure,
25,Platform Reliability,chaos engineering,
25,Platform Reliability,customer reliability concerns,
25,Platform Reliability,detect pipeline failure,
25,Platform Reliability,event ingestion pipeline,
25,Platform Reliability,infrastructure reliability,
25,Platform Reliability,ingestion pipeline,
25,Platform Reliability,pipeline failure,
25,Platform Reliability,pipeline reliability,
25,Platform Reliability,platform reliability,
25,Platform Reliability,reliability concern,
25,Platform Reliability,reliability engineering,
25,Platform Reliability,reliability incident,
